timestamp_ms,ax,ay,az,gx,gy,gz,label
3000387,-0.9333,-0.1746,0.2950,-5.0659,-3.8452,-1.0986,walking
3000397,-0.9386,-0.1603,0.2920,-5.4321,-4.2114,-1.0986,walking
3000407,-0.9398,-0.1525,0.2904,-5.7373,-4.0894,-1.0986,walking
3000417,-0.9396,-0.1454,0.2904,-5.4321,-3.8452,-1.0376,walking
3000427,-0.9413,-0.1411,0.2906,-5.0049,-3.5400,-1.0376,walking
3000437,-0.9395,-0.1362,0.2903,-4.2114,-3.2349,-1.0986,walking
3000447,-0.9391,-0.1331,0.2877,-2.3804,-2.6855,-1.0376,walking
3000457,-0.9381,-0.1322,0.2874,-1.2207,-2.3193,-1.0986,walking
3000467,-0.9360,-0.1335,0.2885,-0.1831,-2.0752,-1.0376,walking
3000477,-0.9379,-0.1367,0.2924,0.9155,-1.4648,-1.1597,walking
3000487,-0.9355,-0.1420,0.2963,1.8311,-1.2207,-1.0986,walking
3000497,-0.9337,-0.1478,0.2986,2.2583,-0.7324,-1.0986,walking
3000517,-0.9238,-0.1641,0.3091,2.9297,-0.1831,-1.1597,walking
3000527,-0.9224,-0.1674,0.3103,2.7466,0.0000,-1.2207,walking
3000537,-0.9215,-0.1681,0.3097,2.5635,-0.1221,-1.1597,walking
3000547,-0.9253,-0.1693,0.3074,2.0752,-0.3662,-1.1597,walking
3000557,-0.9288,-0.1700,0.3032,0.6714,-0.7324,-1.0376,walking
3000567,-0.9375,-0.1716,0.3031,-0.3052,-0.5493,-1.0986,walking
3000577,-0.9371,-0.1672,0.3019,-1.2817,0.0000,-1.1597,walking
3000587,-0.9399,-0.1609,0.3003,-2.0142,0.3052,-1.0986,walking
3000597,-0.9399,-0.1564,0.2977,-2.6245,0.8545,-1.1597,walking
3000607,-0.9413,-0.1521,0.2959,-2.9297,1.0376,-1.1597,walking
3000617,-0.9413,-0.1512,0.2960,-1.8921,-0.0610,-1.0986,walking
3000627,-0.9395,-0.1466,0.2986,-1.0986,-1.0986,-1.1597,walking
3000637,-0.9415,-0.1471,0.2943,-0.1221,-0.7324,-1.0376,walking
3000647,-0.9398,-0.1440,0.2981,0.0610,-0.5493,-1.0986,walking
3000657,-0.9375,-0.1447,0.2955,0.7935,-0.2441,-0.9766,walking
3000667,-0.9348,-0.1454,0.2983,1.0986,0.1831,-1.1597,walking
3000677,-0.9305,-0.1501,0.2983,1.5259,0.1221,-1.2207,walking
3000687,-0.9274,-0.1523,0.2991,1.5869,0.8545,-1.2817,walking
3000697,-0.9277,-0.1521,0.2993,1.4648,0.8545,-1.2207,walking
3000707,-0.9281,-0.1514,0.2985,1.7700,0.7935,-1.2207,walking
3000717,-0.9309,-0.1492,0.2988,1.8311,0.4272,-1.1597,walking
3000727,-0.9324,-0.1489,0.2998,1.8311,0.6714,-1.0376,walking
3000747,-0.9353,-0.1528,0.2990,1.9531,1.3428,-0.9155,walking
3000757,-0.9355,-0.1541,0.2980,1.8921,1.7700,-0.9766,walking
3000767,-0.9366,-0.1553,0.2972,1.5259,1.8311,-0.9766,walking
3000777,-0.9368,-0.1555,0.2972,1.4038,2.0752,-1.0376,walking
3000787,-0.9323,-0.1544,0.2986,0.6104,2.6855,-1.1597,walking
3000797,-0.9279,-0.1533,0.3052,0.4272,2.6245,-1.1597,walking
3000807,-0.9260,-0.1565,0.3094,0.5493,2.4414,-1.1597,walking
3000817,-0.9270,-0.1591,0.3104,0.5493,2.3804,-1.1597,walking
3000827,-0.9272,-0.1626,0.3105,0.3052,2.3193,-1.1597,walking
3000837,-0.9270,-0.1637,0.3099,0.0000,2.2583,-1.1597,walking
3000847,-0.9290,-0.1663,0.3126,-0.7935,2.1362,-1.0376,walking
3000857,-0.9290,-0.1656,0.3123,-1.1597,1.8921,-0.9766,walking
3000867,-0.9293,-0.1641,0.3120,-1.9531,1.9531,-0.8545,walking
3000877,-0.9292,-0.1639,0.3126,-2.4414,2.1362,-0.9155,walking
3000887,-0.9275,-0.1616,0.3129,-2.9297,2.1362,-0.9155,walking
3000897,-0.9292,-0.1611,0.3131,-3.2349,2.3193,-0.7324,walking
3000917,-0.9258,-0.1583,0.3164,-3.9062,2.6245,-0.6104,walking
3000927,-0.9268,-0.1588,0.3193,-3.9673,2.9297,-0.4272,walking
3000937,-0.9232,-0.1594,0.3210,-3.9062,2.9907,-0.4272,walking
3000947,-0.9220,-0.1611,0.3241,-3.5400,3.2349,0.0610,walking
3000957,-0.9246,-0.1631,0.3234,-3.2349,2.8687,0.1831,walking
3000967,-0.9260,-0.1685,0.3245,-3.1738,2.8687,0.3662,walking
3000977,-0.9258,-0.1697,0.3278,-2.9297,2.8687,0.4883,walking
3000987,-0.9220,-0.1699,0.3284,-2.8687,2.8076,0.6104,walking
3000997,-0.9209,-0.1709,0.3298,-2.8687,2.9907,0.6714,walking
